onoma,perigrafi,arithmos_klinon,orofos_ktiriou,amka_dieftinti,tmima_id
Παθολογικό,Γενική παθολογική κλινική για νοσηλεία ενηλίκων,12,1ος Όροφος,02027100001,1
Χειρουργικό,Γενική χειρουργική κλινική,10,2ος Όροφος,03037000002,2
Καρδιολογικό,Νοσηλεία και παρακολούθηση καρδιολογικών περιστατικών,10,3ος Όροφος,04046900003,3
Πνευμονολογικό,Νοσηλεία αναπνευστικών και πνευμονολογικών περιστατικών,10,3ος Όροφος,05056800004,4
Ορθοπεδικό,Ορθοπεδικά περιστατικά και μετεγχειρητική νοσηλεία,10,2ος Όροφος,06066700005,5
Νευρολογικό,Νοσηλεία νευρολογικών περιστατικών,10,4ος Όροφος,07076600006,6
Παιδιατρικό,Παιδιατρική νοσηλεία και παρακολούθηση,10,1ος Όροφος,08086500007,7
Μαιευτικό,Μαιευτική φροντίδα και νοσηλεία,10,2ος Όροφος,09096400008,8
Γυναικολογικό,Γυναικολογική νοσηλεία και φροντίδα,10,2ος Όροφος,10106300009,9
Ογκολογικό,Νοσηλεία και υποστήριξη ογκολογικών ασθενών,10,5ος Όροφος,11116200010,10
Νεφρολογικό,Νοσηλεία και παρακολούθηση νεφρολογικών ασθενών,10,4ος Όροφος,12127200011,11
Ενδοκρινολογικό,Νοσηλεία ενδοκρινολογικών και μεταβολικών περιστατικών,10,4ος Όροφος,13017100012,12
Γαστρεντερολογικό,Νοσηλεία πεπτικών και ηπατολογικών περιστατικών,10,3ος Όροφος,13059100040,13
Ουρολογικό,Νοσηλεία ουρολογικών περιστατικών,10,3ος Όροφος,13099400068,14
ΩΡΛ,Ωτορινολαρυγγολογική νοσηλεία,10,1ος Όροφος,14069000041,15
Οφθαλμολογικό,Οφθαλμολογική φροντίδα και νοσηλεία,10,1ος Όροφος,18029600073,16
Δερματολογικό,Νοσηλεία δερματολογικών περιστατικών,10,4ος Όροφος,18067500017,17
Ψυχιατρικό,Ψυχιατρική νοσηλεία και παρακολούθηση,10,5ος Όροφος,23079800078,18
ΜΕΘ,Μονάδα Εντατικής Θεραπείας,8,Ισόγειο,90000000001,19
Επειγόντων,Βραχεία νοσηλεία περιστατικών ΤΕΠ,10,Ισόγειο,90000000003,20
