mysql> source /Users/hariskaterelos/Documents/hospital-db-management/queries/1.sql
Query OK, 0 rows affected (0.01 sec)

mysql> select * from query_1;
+----------+------+----------+--------------------------+-------------------+-----------------+--------------------+----------------+
| tmima_id | etos | kod_ken  | asfalistikos_foreas      | arithmos_nosilion | synoliko_vasiko | synoliko_prostheto | synoliko_esoda |
+----------+------+----------+--------------------------+-------------------+-----------------+--------------------+----------------+
|        1 | 2024 | G01Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2182.00 |            2181.99 |        4363.99 |
|        1 | 2024 | S20Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          934.00 |           10274.00 |       11208.00 |
|        1 | 2024 | S21Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          887.00 |            1419.20 |        2306.20 |
|        1 | 2024 | Α12Μ     | ΟΑΕΕ-ΕΦΚΑ                |                 1 |         3984.00 |               0.00 |        3984.00 |
|        1 | 2024 | Α25Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          949.00 |            1328.60 |        2277.60 |
|        1 | 2024 | Γ04Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1525.00 |            3049.98 |        4574.98 |
|        1 | 2024 | Γ20Μ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         3938.00 |            1750.24 |        5688.24 |
|        1 | 2024 | Δ08Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2294.00 |             625.65 |        2919.65 |
|        1 | 2024 | Ε09Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |        15346.00 |               0.00 |       15346.00 |
|        1 | 2024 | Ε09Β     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         9669.00 |               0.00 |        9669.00 |
|        1 | 2024 | Η06Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         4646.00 |               0.00 |        4646.00 |
|        1 | 2024 | Η40Μβ    | ΤΣΑΥ                     |                 1 |          965.00 |            1544.00 |        2509.00 |
|        1 | 2024 | Η41Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          872.00 |            1308.00 |        2180.00 |
|        1 | 2024 | Θ02Χ     | ΕΟΠΥΥ                    |                 1 |         3515.00 |               0.00 |        3515.00 |
|        1 | 2024 | Ξ20Χα    | ΙΚΑ-ΕΦΚΑ                 |                 3 |         2358.00 |            4716.00 |        7074.00 |
|        1 | 2024 | Ο10Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          650.00 |            5850.00 |        6500.00 |
|        1 | 2024 | Ο14Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          406.00 |             609.00 |        1015.00 |
|        1 | 2024 | Π04Μβ    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2710.00 |               0.00 |        2710.00 |
|        1 | 2024 | Π28Α     | ΙΚΑ-ΕΦΚΑ                 |                 3 |          870.00 |            5220.00 |        6090.00 |
|        1 | 2024 | Π28Α     | ΟΑΕΕ-ΕΦΚΑ                |                 1 |          290.00 |            3480.00 |        3770.00 |
|        1 | 2024 | Π28Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2062.00 |               0.00 |        2062.00 |
|        1 | 2024 | Ρ10Μα    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         7118.00 |               0.00 |        7118.00 |
|        1 | 2024 | Τ20Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          512.00 |            2560.00 |        3072.00 |
|        1 | 2024 | Τ25Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2646.00 |               0.00 |        2646.00 |
|        1 | 2024 | Υ09Μ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         9458.00 |               0.00 |        9458.00 |
|        1 | 2024 | Ω03Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1281.00 |            4483.50 |        5764.50 |
|        1 | 2024 | Ω06Α     | ΤΣΑΥ                     |                 3 |         3375.00 |           40500.00 |       43875.00 |
|        1 | 2025 | W13Α     | ΤΣΑΥ                     |                 3 |         2055.00 |            4110.00 |        6165.00 |
|        1 | 2025 | Α10Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         6036.00 |            1006.00 |        7042.00 |
|        1 | 2025 | Α24Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1821.00 |               0.00 |        1821.00 |
|        1 | 2025 | Β04Α     | ΕΟΠΥΥ                    |                 3 |         1956.00 |           17604.00 |       19560.00 |
|        1 | 2025 | Γ05Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2147.00 |            1789.15 |        3936.15 |
|        1 | 2025 | Δ01Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         8557.00 |               0.00 |        8557.00 |
|        1 | 2025 | Δ06Α     | ΤΣΑΥ                     |                 1 |         1383.00 |            4610.00 |        5993.00 |
|        1 | 2025 | Δ24Χ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         1604.00 |            2406.00 |        4010.00 |
|        1 | 2025 | Ε06Χγ    | ΙΚΑ-ΕΦΚΑ                 |                 2 |        16522.00 |               0.00 |       16522.00 |
|        1 | 2025 | Ε11Χ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |        10604.00 |            3534.68 |       14138.68 |
|        1 | 2025 | Ζ02Χ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         5958.00 |            4965.00 |       10923.00 |
|        1 | 2025 | Ζ22Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1167.00 |             583.50 |        1750.50 |
|        1 | 2025 | Η23Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2552.00 |               0.00 |        2552.00 |
|        1 | 2025 | Κ02Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2844.00 |            2844.00 |        5688.00 |
|        1 | 2025 | Κ32Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1043.00 |            5215.00 |        6258.00 |
|        1 | 2025 | Κ33Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         3132.00 |               0.00 |        3132.00 |
|        1 | 2025 | Κ34Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2233.00 |               0.00 |        2233.00 |
|        1 | 2025 | Λ24Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          288.00 |            1440.00 |        1728.00 |
|        1 | 2025 | Λ24Α     | ΟΑΕΕ-ΕΦΚΑ                |                 1 |          288.00 |             432.00 |         720.00 |
|        1 | 2025 | Μ28Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2639.00 |               0.00 |        2639.00 |
|        1 | 2025 | Μ77Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1058.00 |             352.66 |        1410.66 |
|        1 | 2025 | Μ78Χ     | ΙΚΑ-ΕΦΚΑ                 |                 3 |         1425.00 |            7125.00 |        8550.00 |
|        1 | 2025 | Ν21Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1885.00 |            3016.00 |        4901.00 |
|        1 | 2025 | Ν22Α     | ΙΚΑ-ΕΦΚΑ                 |                 3 |          729.00 |            9477.00 |       10206.00 |
|        1 | 2025 | Ν36Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1486.00 |             247.67 |        1733.67 |
